year,company,cik,form_type,date_filed,url,document_url
2018,12 Retech Corp NT,1627611,10-K,2018-03-30,https://www.sec.gov/Archives/edgar/data/1627611/0001493152-18-004256.txt,https://www.sec.gov/Archives/edgar/data/1627611/000149315218005212/form10-k.htm
2018,"1347 Property Insurance Holdings, Inc.",1591890,10-K,2018-03-26,https://www.sec.gov/Archives/edgar/data/1591890/0001493152-18-003887.txt,https://www.sec.gov/Archives/edgar/data/1591890/000149315218003887/form10-k.htm
2018,1ST CONSTITUTION BANCORP,1141807,10-K,2018-03-19,https://www.sec.gov/Archives/edgar/data/1141807/0001141807-18-000005.txt,https://www.sec.gov/Archives/edgar/data/1141807/000114180718000005/fccy-20171231x10k.htm
2018,1ST CONSTITUTION BANCORP NT,1141807,10-K,2018-03-19,https://www.sec.gov/Archives/edgar/data/1141807/0001214659-18-002213.txt,https://www.sec.gov/Archives/edgar/data/1141807/000114180718000005/fccy-20171231x10k.htm
2018,1ST SOURCE CORP,34782,10-K,2018-02-16,https://www.sec.gov/Archives/edgar/data/34782/0000034782-18-000033.txt,https://www.sec.gov/Archives/edgar/data/34782/000003478218000033/sce-20171231x10k.htm
2018,1st FRANKLIN FINANCIAL CORP,38723,10-K,2018-03-30,https://www.sec.gov/Archives/edgar/data/38723/0001376474-18-000064.txt,https://www.sec.gov/Archives/edgar/data/38723/000137647418000064/ff_10k.htm
2018,"22nd Century Group, Inc.",1347858,10-K,2018-03-07,https://www.sec.gov/Archives/edgar/data/1347858/0001144204-18-013354.txt,https://www.sec.gov/Archives/edgar/data/1347858/000114420418013354/tv484508_10k.htm
2018,"2U, Inc.",1459417,10-K,2018-02-27,https://www.sec.gov/Archives/edgar/data/1459417/0001047469-18-001109.txt,https://www.sec.gov/Archives/edgar/data/1459417/000104746918001109/a2234625z10-k.htm
2018,3D SYSTEMS CORP,910638,10-K,2018-03-14,https://www.sec.gov/Archives/edgar/data/910638/0000910638-18-000006.txt,https://www.sec.gov/Archives/edgar/data/910638/000091063818000006/ddd-20171231x10k.htm
2018,3D SYSTEMS CORP NT,910638,10-K,2018-03-01,https://www.sec.gov/Archives/edgar/data/910638/0001171843-18-001602.txt,https://www.sec.gov/Archives/edgar/data/910638/000091063818000006/ddd-20171231x10k.htm
2018,"3DX Industries, Inc.",1453122,10-K,2018-01-17,https://www.sec.gov/Archives/edgar/data/1453122/0001594062-18-000008.txt,https://www.sec.gov/Archives/edgar/data/1453122/000159406218000012/form10k.htm
