year,company,cik,form_type,date_filed,url,document_url
2022,10X Capital Venture Acquisition Corp. II,1848898,10-K,2022-03-30,https://www.sec.gov/Archives/edgar/data/1848898/0001193125-22-090065.txt,https://www.sec.gov/Archives/edgar/data/1848898/000119312522090065/d268696d10k.htm
2022,10X Capital Venture Acquisition Corp. III,1848948,10-K,2022-03-31,https://www.sec.gov/Archives/edgar/data/1848948/0001193125-22-091777.txt,https://www.sec.gov/Archives/edgar/data/1848948/000119312522091777/d279265d10k.htm
2022,"10x Genomics, Inc.",1770787,10-K,2022-02-18,https://www.sec.gov/Archives/edgar/data/1770787/0001770787-22-000015.txt,https://www.sec.gov/Archives/edgar/data/1770787/000177078722000015/txg-20211231.htm
2022,12 Retech Corp,1627611,10-K,2022-03-31,https://www.sec.gov/Archives/edgar/data/1627611/0001493152-22-008422.txt,https://www.sec.gov/Archives/edgar/data/1627611/000149315222008422/form10-k.htm
2022,1606 CORP. NT,1877461,10-K,2022-03-31,https://www.sec.gov/Archives/edgar/data/1877461/0001477932-22-001787.txt,https://www.sec.gov/Archives/edgar/data/1877461/000147793222002081/onesix_10k.htm
2022,180 Life Sciences Corp.,1690080,10-K,2022-03-31,https://www.sec.gov/Archives/edgar/data/1690080/0001213900-22-016352.txt,https://www.sec.gov/Archives/edgar/data/1690080/000121390022016352/f10k2021_180lifesci.htm
2022,1847 Goedeker Inc.,1810140,10-K,2022-03-31,https://www.sec.gov/Archives/edgar/data/1810140/0001213900-22-016393.txt,https://www.sec.gov/Archives/edgar/data/1810140/000121390022016393/f10k2021_1847goedekerinc.htm
2022,1847 Holdings LLC,1599407,10-K,2022-03-31,https://www.sec.gov/Archives/edgar/data/1599407/0001213900-22-016805.txt,https://www.sec.gov/Archives/edgar/data/1599407/000121390022016805/f10k2021_1847holdingsllc.htm
2022,"1895 Bancorp of Wisconsin, Inc. /MD/",1847360,10-K,2022-03-29,https://www.sec.gov/Archives/edgar/data/1847360/0001193125-22-087321.txt,https://www.sec.gov/Archives/edgar/data/1847360/000119312522087321/d621362d10k.htm
2022,1Life Healthcare Inc,1404123,10-K,2022-02-23,https://www.sec.gov/Archives/edgar/data/1404123/0001404123-22-000010.txt,https://www.sec.gov/Archives/edgar/data/1404123/000140412322000010/onem-20211231.htm
2022,1ST SOURCE CORP,34782,10-K,2022-02-17,https://www.sec.gov/Archives/edgar/data/34782/0000034782-22-000038.txt,https://www.sec.gov/Archives/edgar/data/34782/000003478222000038/source-20211231.htm
2022,1st FRANKLIN FINANCIAL CORP,38723,10-K,2022-03-31,https://www.sec.gov/Archives/edgar/data/38723/0001376474-22-000181.txt,https://www.sec.gov/Archives/edgar/data/38723/000137647422000181/ffc-20211231.htm
2022,"1stdibs.com, Inc.",1600641,10-K,2022-03-03,https://www.sec.gov/Archives/edgar/data/1600641/0001600641-22-000023.txt,https://www.sec.gov/Archives/edgar/data/1600641/000160064122000023/dibs-20211231.htm
2022,"22nd Century Group, Inc.",1347858,10-K,2022-03-01,https://www.sec.gov/Archives/edgar/data/1347858/0001558370-22-002452.txt,https://www.sec.gov/Archives/edgar/data/1347858/000155837022002452/xxii-20211231x10k.htm
2022,26 Capital Acquisition Corp.,1822912,10-K,2022-03-30,https://www.sec.gov/Archives/edgar/data/1822912/0001213900-22-016220.txt,https://www.sec.gov/Archives/edgar/data/1822912/000121390022016220/f10k2021_26capitalacqu.htm
