year,company,cik,SIC,Item_1_ESG_Exposure,Item_1_ESG_Sentiment,Item_1A_ESG_Exposure,Item_1A_ESG_Sentiment,Item_7_ESG_Exposure,Item_7_ESG_Sentiment,Item_8_ESG_Exposure,Item_8_ESG_Sentiment,Overall_ESG_Exposure,Overall_ESG_Sentiment
2022,ABBOTT LABORATORIES,1800,2834,0.0536912751677852,0.2937177121639251,0.025,0.9483488649129868,0.0137931034482758,0.5866939624150594,0.0156950672645739,0.3305863301668848,0.0270448614701587,0.5398367174147141
2022,ADOBE INC.,796343,7372,0.0049504950495049,0.0182360410690307,0.0445859872611464,0.7858632121767316,0.0,0.0,0.0035273368606701,0.4873586483299732,0.0132659547928304,0.3228644753939339
2022,ADVANCE AUTO PARTS INC,1158449,5531,0.1919191919191919,0.4044636397769576,0.0725388601036269,0.657415932310479,0.0408163265306122,0.5489887124858797,0.0,0.0,0.0763185946383577,0.4027170711433291
2022,AES CORP,874761,4911,0.4694063926940639,-0.0642841587546154,0.321078431372549,0.4989141024478519,0.1799709724238026,0.0952160529071284,0.1407837445573294,0.0717250013666361,0.2778098852619362,0.1503927494917503
2022,AKAMAI TECHNOLOGIES INC,1086222,7389,0.008,0.0589556917548179,0.0336134453781512,0.5520496641596159,0.0121951219512195,0.1683377519249916,0.0029585798816568,-0.2653014212846756,0.0141917868027568,0.1285104216386874
2022,ALBEMARLE CORP,915913,2821,0.265,0.0273318800302046,0.2023255813953488,0.5679040126202778,0.1267605633802817,-0.0181761528422803,0.0501635768811341,0.2371494352979504,0.1610624304141911,0.2035522937765381
2022,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",1035443,6798,0.1439393939393939,0.5292864167376569,0.1317972350230414,0.485663270356355,0.1299885974914481,0.1253685609584576,0.0,0.0,0.1014313066134708,0.2850795620131174
2022,AMERICAN ELECTRIC POWER CO INC,4904,4911,0.3926470588235294,0.006525606307644,0.3212121212121212,0.5325283810215177,0.0,0.0,0.1436062246278755,0.1934881514273979,0.2143663511658815,0.1831355346891399
2022,AMPHENOL CORP /DE/,820313,3678,0.0977777777777777,0.1309326805851676,0.1,0.7966649922586623,0.0141843971631205,0.1100889965891838,0.0151351351351351,0.4344381304191692,0.0567743275190083,0.3680311999630457
2022,AT&T INC.,732717,4813,0.005050505050505,0.0691043138504028,0.0833333333333333,0.91541482321918,0.033596837944664,0.1737572274663869,0.0118577075098814,0.1165834839145342,0.0334595959595959,0.318714962112626
2022,AVALONBAY COMMUNITIES INC,915912,6798,0.0595238095238095,0.1813930585980415,0.0915032679738562,0.7652523159714681,0.0220385674931129,0.1723940507508814,0.0,0.0,0.0432664112476946,0.2797598563300978
2022,AbbVie Inc.,1551152,2834,0.0257142857142857,0.3247887012031343,0.010752688172043,0.95725284020106,0.012539184952978,0.8284496068954468,0.0014164305949008,0.1517867147922516,0.0126056473585519,0.5655694657729732
