year,company,cik,Item_1_ESG_Exposure,Item_1_ESG_Sentiment,Item_1A_ESG_Exposure,Item_1A_ESG_Sentiment,Item_7_ESG_Exposure,Item_7_ESG_Sentiment,Item_8_ESG_Exposure,Item_8_ESG_Sentiment,Overall_ESG_Exposure,Overall_ESG_Sentiment
2024,ABBOTT LABORATORIES,1800,0.05333333333333334,0.29371771216392517,0.03225806451612903,0.9426079511642456,0.013392857142857142,0.607135092218717,0.010460251046025104,0.4278491109609604,0.027361126509586154,0.567827466626962
2024,ADOBE INC.,796343,0.004842615012106538,0.034857869148254395,0.03076923076923077,0.9494395032525063,0.004347826086956522,-0.4067029654979706,0.0035842293906810036,0.4873586483299732,0.01088597531474371,0.2662382638081908
2024,ADVANCE AUTO PARTS INC,1158449,0.21428571428571427,0.3194219870936303,0.0582010582010582,0.7627885287458246,0.011834319526627219,0.19001240842044353,0.0,0.0,0.07108027300334992,0.3180557310649746
2024,ADVANCE AUTO PARTS INC NT,1158449,0.21428571428571427,0.3194219870936303,0.0582010582010582,0.7627885287458246,0.011834319526627219,0.19001240842044353,0.0,0.0,0.07108027300334992,0.3180557310649746
2024,AES CORP,874761,0.4868173258003766,-0.07075505672343349,0.34517766497461927,0.47141819337711616,0.21559633027522937,0.12982880612108724,0.19329529243937232,0.00530779016688741,0.3102216533723994,0.13394993323541435
2024,AKAMAI TECHNOLOGIES INC,1086222,0.0078125,0.05548069253563881,0.032640949554896145,0.6082038066603921,0.010416666666666666,0.08116976357996464,0.005244755244755245,-0.24963214000066122,0.014028717866579514,0.12380553069383357
2024,ALBEMARLE CORP,915913,0.32,-0.04465500536025502,0.21325051759834368,0.6529683620641822,0.14152410575427682,-0.009814788270127642,0.05641592920353982,0.216798345613129,0.1827976381390401,0.20382422851173215
2024,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",1035443,0.125,0.6385057664969388,0.11676646706586827,0.5718014615022728,0.07272727272727272,0.3416611406428274,0.0,0.0,0.07862343494828525,0.3879920921605098
2024,AMERICAN ELECTRIC POWER CO INC,4904,0.357421875,0.08450245697438065,0.32727272727272727,0.5357927361444111,0.0,0.0,0.14525376937778722,0.16903964612818165,0.20748709291262862,0.19733370981174336
2024,AMPHENOL CORP /DE/,820313,0.125,0.06783289120843013,0.10407239819004525,0.7532278066096099,0.013333333333333334,0.25672334858349394,0.010976948408342482,0.354137547314167,0.06334566998293027,0.35798039842892526
2024,AT&T INC.,732717,0.005434782608695652,0.18816810846328735,0.09836065573770492,0.9112574491235945,0.03146067415730337,0.17102262085037573,0.016713091922005572,0.09551509159306686,0.03799230110642738,0.34149081750758115
2024,AVALONBAY COMMUNITIES INC,915912,0.05925925925925926,0.30663231015205383,0.09554140127388536,0.7510424329588811,0.028938906752411574,0.14125029411580828,0.0,0.0,0.045934891821389046,0.2997312593066858
